connector_id,connector_name,total_operations,covered_operations,coverage_ratio,missing_operations
"adobesign","Adobe Acrobat Sign","7","7","1.0000",""
"adp","ADP Workforce Now","5","5","1.0000",""
"adyen","Adyen","5","5","1.0000",""
"airtable","Airtable","8","8","1.0000",""
"airtable-enhanced","Airtable Enhanced","10","10","1.0000",""
"ansible","Ansible","9","9","1.0000",""
"argocd","Argo CD","7","7","1.0000",""
"asana-enhanced","Asana Enhanced","15","15","1.0000",""
"aws-cloudformation","AWS CloudFormation","7","7","1.0000",""
"aws-codepipeline","AWS CodePipeline","8","8","1.0000",""
"azure-devops","Azure DevOps","7","7","1.0000",""
"bamboohr","BambooHR","7","7","1.0000",""
"basecamp","Basecamp","8","8","1.0000",""
"bigcommerce","BigCommerce","8","8","1.0000",""
"bigquery","Google BigQuery","8","8","1.0000",""
"bitbucket","Bitbucket","8","8","1.0000",""
"box","Box","10","10","1.0000",""
"braze","Braze","8","8","1.0000",""
"brex","Brex","10","10","1.0000",""
"caldotcom","Cal.com","10","10","1.0000",""
"calendly","Calendly","8","8","1.0000",""
"circleci","CircleCI","10","10","1.0000",""
"clickup","ClickUp","11","11","1.0000",""
"coda","Coda","11","11","1.0000",""
"concur","SAP Concur","9","9","1.0000",""
"confluence","Atlassian Confluence","10","10","1.0000",""
"coupa","Coupa","10","10","1.0000",""
"databricks","Databricks","12","12","1.0000",""
"datadog","Datadog","9","9","1.0000",""
"docker-hub","Docker Hub","7","7","1.0000",""
"docusign","DocuSign","11","11","1.0000",""
"dropbox","Dropbox","13","13","1.0000",""
"dropbox-enhanced","Dropbox Enhanced","14","14","1.0000",""
"dynamics365","Microsoft Dynamics 365","11","11","1.0000",""
"egnyte","Egnyte","12","12","1.0000",""
"excel-online","Microsoft Excel Online","13","13","1.0000",""
"expensify","Expensify","11","11","1.0000",""
"freshdesk","Freshdesk","10","10","1.0000",""
"github","GitHub","20","20","1.0000",""
"github-enhanced","GitHub Enhanced","11","11","1.0000",""
"gitlab","GitLab","7","7","1.0000",""
"gmail","Gmail","10","10","1.0000",""
"gmail-enhanced","Gmail Enhanced","12","12","1.0000",""
"google-admin","Google Admin","11","11","1.0000",""
"google-calendar","Google Calendar","16","16","1.0000",""
"google-chat","Google Chat","14","14","1.0000",""
"google-contacts","Google Contacts","11","11","1.0000",""
"google-docs","Google Docs","12","12","1.0000",""
"google-drive","Google Drive","18","18","1.0000",""
"google-forms","Google Forms","12","12","1.0000",""
"google-meet","Google Meet","13","13","1.0000",""
"google-sheets-enhanced","Google Sheets Enhanced","14","14","1.0000",""
"google-slides","Google Slides","12","12","1.0000",""
"grafana","Grafana","7","7","1.0000",""
"greenhouse","Greenhouse","15","15","1.0000",""
"guru","Guru","15","15","1.0000",""
"hashicorp-vault","HashiCorp Vault","7","7","1.0000",""
"hellosign","HelloSign","16","16","1.0000",""
"helm","Helm","7","7","1.0000",""
"hubspot","HubSpot","19","19","1.0000",""
"hubspot-enhanced","HubSpot Enhanced","16","16","1.0000",""
"intercom","Intercom","16","16","1.0000",""
"iterable","Iterable","18","18","1.0000",""
"jenkins","Jenkins","19","19","1.0000",""
"jira","Jira","16","16","1.0000",""
"jira-service-management","Jira Service Management","19","19","1.0000",""
"jotform","JotForm","18","18","1.0000",""
"klaviyo","Klaviyo","15","15","1.0000",""
"kubernetes","Kubernetes","7","7","1.0000",""
"kustomer","Kustomer","18","18","1.0000",""
"lever","Lever","15","15","1.0000",""
"linear","Linear","15","15","1.0000",""
"llm","LLM (Large Language Model)","3","3","1.0000",""
"looker","Looker","16","16","1.0000",""
"luma","Luma","17","17","1.0000",""
"magento","Magento","11","11","1.0000",""
"mailchimp","Mailchimp","18","18","1.0000",""
"mailchimp-enhanced","Mailchimp Enhanced","14","14","1.0000",""
"mailgun","Mailgun","19","19","1.0000",""
"marketo","Marketo","21","21","1.0000",""
"microsoft-teams","Microsoft Teams","12","12","1.0000",""
"microsoft-todo","Microsoft To Do","10","10","1.0000",""
"miro","Miro","19","19","1.0000",""
"mixpanel","Mixpanel","20","20","1.0000",""
"monday","Monday.com","18","18","1.0000",""
"monday-enhanced","Monday.com Enhanced","14","14","1.0000",""
"navan","Navan","7","7","1.0000",""
"netsuite","NetSuite","7","7","1.0000",""
"newrelic","New Relic","8","8","1.0000",""
"nexus","Sonatype Nexus","7","7","1.0000",""
"notion","Notion","13","13","1.0000",""
"notion-enhanced","Notion Enhanced","21","21","1.0000",""
"okta","Okta","18","18","1.0000",""
"onedrive","OneDrive","8","8","1.0000",""
"opsgenie","Opsgenie","14","14","1.0000",""
"outlook","Microsoft Outlook","11","11","1.0000",""
"pagerduty","PagerDuty","15","15","1.0000",""
"pardot","Pardot","8","8","1.0000",""
"paypal","PayPal","12","12","1.0000",""
"pipedrive","Pipedrive","12","12","1.0000",""
"powerbi","Power BI","9","9","1.0000",""
"powerbi-enhanced","Power BI Enhanced","22","22","1.0000",""
"prometheus","Prometheus","7","7","1.0000",""
"qualtrics","Qualtrics","10","10","1.0000",""
"quickbooks","QuickBooks","17","17","1.0000",""
"ramp","Ramp","6","6","1.0000",""
"razorpay","Razorpay","8","8","1.0000",""
"ringcentral","RingCentral","10","10","1.0000",""
"sageintacct","Sage Intacct","9","9","1.0000",""
"salesforce","Salesforce","6","6","1.0000",""
"salesforce-enhanced","Salesforce Enhanced","10","10","1.0000",""
"sap-ariba","SAP Ariba","17","17","1.0000",""
"sendgrid","SendGrid","10","10","1.0000",""
"sentry","Sentry","21","21","1.0000",""
"servicenow","ServiceNow","8","8","1.0000",""
"sharepoint","SharePoint","18","18","1.0000",""
"shopify","Shopify","18","18","1.0000",""
"shopify-enhanced","Shopify Enhanced","14","14","1.0000",""
"slab","Slab","10","10","1.0000",""
"slack","Slack","16","16","1.0000",""
"slack-enhanced","Slack Enhanced","18","18","1.0000",""
"smartsheet","Smartsheet","17","17","1.0000",""
"snowflake","Snowflake","16","16","1.0000",""
"sonarqube","SonarQube","7","7","1.0000",""
"square","Square","10","10","1.0000",""
"stripe","Stripe","14","14","1.0000",""
"stripe-enhanced","Stripe Enhanced","7","7","1.0000",""
"successfactors","SAP SuccessFactors","7","7","1.0000",""
"surveymonkey","SurveyMonkey","17","17","1.0000",""
"tableau","Tableau","18","18","1.0000",""
"talkdesk","Talkdesk","17","17","1.0000",""
"teamwork","Teamwork","18","18","1.0000",""
"terraform-cloud","Terraform Cloud","7","7","1.0000",""
"toggl","Toggl Track","21","21","1.0000",""
"trello","Trello","24","24","1.0000",""
"trello-enhanced","Trello Enhanced","12","12","1.0000",""
"twilio","Twilio","15","15","1.0000",""
"typeform","Typeform","3","3","1.0000",""
"victorops","VictorOps","15","15","1.0000",""
"webex","Cisco Webex","13","13","1.0000",""
"webflow","Webflow","18","18","1.0000",""
"woocommerce","WooCommerce","10","10","1.0000",""
"workday","Workday","17","17","1.0000",""
"workfront","Adobe Workfront","16","16","1.0000",""
"xero","Xero","16","16","1.0000",""
"zendesk","Zendesk","21","21","1.0000",""
"zoho-books","Zoho Books","16","16","1.0000",""
"zoho-crm","Zoho CRM","13","13","1.0000",""
"zoom-enhanced","Zoom Enhanced","12","12","1.0000",""
